Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Mileage_final,Engine_cc,Power_bhp,New_Price_thousand,State,KRW,KRW_state_year,Age,Owner_Rank,log_Price,data_split
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,42922.88,2014,78500,Diesel,Automatic,First,14.84 kmpl,2143 CC,167.62 bhp,5.0,,14.84,2143.0,167.62,,Karnataka,1950.36,1950.36,6,1,10.667160296077768,labeled_for_modeling
BMW 3 Series 320d,Kochi,28436.41,2014,32982,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,47.87 Lakh,22.69,1995.0,190.0,4787.0,Kerala,2033.06,2033.06,6,1,10.255425645288376,labeled_for_modeling
Maruti S Cross DDiS 200 Alpha,Bangalore,12646.92,2015,55392,Diesel,Manual,Second,23.65 kmpl,1248 CC,88.5 bhp,5.0,,23.65,1248.0,88.5,,Karnataka,2221.62,2221.62,5,2,9.445168986249152,labeled_for_modeling
Audi A6 2011-2015 35 TFSI Technology,Mumbai,36024.56,2015,55985,Petrol,Automatic,First,13.53 kmpl,1984 CC,177.01 bhp,5.0,,13.53,1984.0,177.01,,Maharashtra,2202.22,2202.22,5,1,10.491956207052677,labeled_for_modeling
Hyundai i20 1.2 Magna,Kolkata,2866.64,2010,45807,Petrol,Manual,First,18.5 kmpl,1197 CC,80 bhp,5.0,,18.5,1197.0,80.0,,West Bengal,1576.62,1576.62,10,1,7.9608958912046415,labeled_for_modeling
Volkswagen Vento Petrol Highline AT,Kolkata,4368.94,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5.0,,14.4,1598.0,103.6,,West Bengal,1576.62,1576.62,10,1,8.382275695737428,labeled_for_modeling
Honda City Corporate Edition,Mumbai,6515.08,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,16.8,1497.0,116.3,,Maharashtra,1681.38,1681.38,8,1,8.781874768838888,labeled_for_modeling
Nissan Micra Diesel XV,Hyderabad,6515.08,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,23.08,1461.0,63.1,,Telangana,1515.1,1515.1,8,1,8.781874768838888,labeled_for_modeling
Maruti Alto K10 2010-2014 VXI,Hyderabad,4215.64,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5.0,,20.92,998.0,67.1,,Telangana,1682.43,1682.43,7,2,8.346556697581043,labeled_for_modeling
Honda WRV i-VTEC VX,Kochi,15176.3,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5.0,10.57 Lakh,17.5,1199.0,88.7,1057.0,Kerala,3081.56,3081.56,2,1,9.627490279474289,labeled_for_modeling
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,6131.84,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7.0,,12.8,2494.0,102.0,,Maharashtra,2736.81,2736.81,13,4,8.721250147022454,labeled_for_modeling
Renault Duster 110PS Diesel RxZ Pack,Bangalore,11880.44,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5.0,,19.01,1461.0,108.45,,Karnataka,1782.44,1782.44,7,1,9.38264862926782,labeled_for_modeling
Toyota Corolla Altis G,Delhi,10347.48,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5.0,,14.53,1798.0,138.1,,Delhi,3083.52,3083.52,8,1,9.244498290787002,labeled_for_modeling
Mahindra Ssangyong Rexton RX7,Bangalore,19162.0,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7.0,,11.18,2696.0,184.0,,Karnataka,1782.44,1782.44,7,2,9.860684430210819,labeled_for_modeling
Audi A6 2.7 TDI,Kolkata,17629.04,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5.0,,12.4,2698.0,179.5,,West Bengal,1576.62,1576.62,10,1,9.777302821271768,labeled_for_modeling
Volkswagen Vento 1.6 Highline,Coimbatore,10700.06,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5.0,12.33 Lakh,16.09,1598.0,103.5,1233.0,Tamil Nadu,1942.41,1942.41,6,2,9.278004627910912,labeled_for_modeling
Maruti Wagon R LXI BSIII,Jaipur,2835.98,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5.0,,14.0,1061.0,64.0,,Rajasthan,1723.88,1723.88,11,2,7.950142835440974,labeled_for_modeling
Maruti Vitara Brezza ZDi Plus,Kochi,13229.44,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5.0,11.12 Lakh,24.3,1248.0,88.5,1112.0,Kerala,3081.56,3081.56,2,1,9.490199928170817,labeled_for_modeling
Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,7434.86,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5.0,,18.15,1198.0,82.0,,Delhi,4774.84,4774.84,3,1,8.913935028858194,labeled_for_modeling
Mercedes-Benz M-Class ML 350 CDI,Pune,42922.88,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5.0,,11.74,2987.0,254.8,,Maharashtra,1878.92,1878.92,7,1,10.667160296077768,labeled_for_modeling
Volkswagen Polo Diesel Trendline 1.2L,Chennai,7664.8,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,22.07,1199.0,73.9,,Tamil Nadu,1754.4,1754.4,7,1,8.944393698336663,labeled_for_modeling
Maruti Alto LXi,Delhi,1916.2,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5.0,,19.7,796.0,46.3,,Delhi,4834.66,4834.66,12,2,7.558099337216773,labeled_for_modeling
Tata Nano LX SE,Kochi,2345.43,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4.0,,25.4,624.0,37.5,,Kerala,2033.06,2033.06,6,1,7.760224032940299,labeled_for_modeling
Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,8553.92,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6.0,,25.32,1198.0,77.0,,Tamil Nadu,2629.14,2629.14,3,1,9.054144936393342,labeled_for_modeling
Hyundai i20 Magna Optional 1.2,Kochi,7266.23,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5.0,,18.5,1197.0,82.9,,Kerala,2033.06,2033.06,6,1,8.89099286656037,labeled_for_modeling
Hyundai Elantra 2.0 SX Option AT,Bangalore,13566.7,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5.0,23.64 Lakh,14.62,1999.0,149.92,2364.0,Karnataka,1950.36,1950.36,6,1,9.515373539762015,labeled_for_modeling
Toyota Corolla Altis G AT,Mumbai,15498.23,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5.0,,14.28,1798.0,138.03,,Maharashtra,2455.89,2455.89,4,1,9.648481102838371,labeled_for_modeling
Hyundai Elantra CRDi,Ahmedabad,6515.08,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5.0,,14.9,1991.0,112.2,,Gujarat,3109.86,3109.86,12,2,8.781874768838888,labeled_for_modeling
Toyota Innova Crysta 2.7 GX MT,Bangalore,16785.91,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7.0,18.64 Lakh,11.25,2694.0,163.7,1864.0,Karnataka,1534.78,1534.78,8,1,9.728295123017533,labeled_for_modeling
Hyundai Xcent 1.1 CRDi S,Jaipur,5901.9,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5.0,,24.4,1120.0,71.0,,Rajasthan,1146.44,1146.44,6,1,8.68302961195033,labeled_for_modeling
Mahindra Thar CRDe AC,Jaipur,8431.28,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6.0,,16.55,2498.0,105.0,,Rajasthan,954.87,954.87,8,2,9.039703878140989,labeled_for_modeling
Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,32851.33,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5.0,,17.11,1968.0,174.33,,Kerala,2222.0,2222.0,5,1,10.399747510155583,labeled_for_modeling
Maruti Swift LDI,Delhi,6515.08,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,22.9,1248.0,74.0,,Delhi,3708.14,3708.14,6,1,8.781874768838888,labeled_for_modeling
Maruti Swift Ldi BSIV,Kolkata,5058.77,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5.0,,17.8,1248.0,75.0,,West Bengal,1033.14,1033.14,6,1,8.528878649728096,labeled_for_modeling
Maruti Swift VDI,Delhi,5901.9,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,28.4,1248.0,74.0,,Delhi,3418.5,3418.5,7,1,8.68302961195033,labeled_for_modeling
Hyundai Grand i10 Sportz,Chennai,5518.66,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5.0,,18.9,1197.0,82.0,,Tamil Nadu,2130.42,2130.42,5,3,8.615890356178522,labeled_for_modeling
Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,6116.51,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5.0,,15.04,1598.0,103.2,,West Bengal,1139.88,1139.88,5,1,8.718746951407567,labeled_for_modeling
Renault KWID RXT,Kochi,5058.77,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,,25.17,799.0,53.3,,Kerala,2748.78,2748.78,3,1,8.528878649728096,labeled_for_modeling
Hyundai i10 Asta,Kolkata,3173.23,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,20.36,1197.0,78.9,,West Bengal,1576.62,1576.62,10,1,8.062505275561904,labeled_for_modeling
Nissan X-Trail SLX AT,Hyderabad,11880.44,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5.0,,13.29,1995.0,147.6,,Telangana,3386.01,3386.01,10,1,9.38264862926782,labeled_for_modeling
Maruti Zen Estilo VXI BSIII,Hyderabad,3449.16,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5.0,,18.2,998.0,67.1,,Telangana,3386.01,3386.01,10,1,8.145886002118893,labeled_for_modeling
Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,25293.84,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8.0,19.34 Lakh,13.68,2393.0,147.8,1934.0,Maharashtra,2589.95,2589.95,3,1,10.138316166809098,labeled_for_modeling
Ford Figo Diesel Titanium,Bangalore,4215.64,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,20.0,1399.0,68.0,,Karnataka,3325.24,3325.24,10,1,8.346556697581043,labeled_for_modeling
Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,40930.03,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,,11.74,1796.0,186.0,,Delhi,4053.92,4053.92,5,1,10.61961930244489,labeled_for_modeling
Mercedes-Benz New C-Class 200 CDI Classic,Pune,15329.6,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5.0,,15.8,2148.0,170.0,,Maharashtra,1493.96,1493.96,9,2,9.637540878896608,labeled_for_modeling
Tata Indica V2 eLS,Chennai,3832.4,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,,25.0,1396.0,69.0,,Tamil Nadu,2348.93,2348.93,4,1,8.251246517776718,labeled_for_modeling
Audi A4 2.0 TDI Multitronic,Jaipur,20694.96,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,,16.55,1968.0,140.0,,Rajasthan,954.87,954.87,8,1,9.937645471346947,labeled_for_modeling
Honda City ZX CVT,Mumbai,2835.98,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5.0,,16.4,1497.0,78.0,,Maharashtra,2736.81,2736.81,13,2,7.950142835440974,labeled_for_modeling
Mercedes-Benz C-Class Progressive C 220d,Coimbatore,54680.68,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5.0,49.14 Lakh,18.2,1950.0,194.0,4914.0,Tamil Nadu,3092.48,3092.48,1,1,10.909265726751782,labeled_for_modeling
Maruti Ertiga SHVS VDI,Pune,12493.62,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7.0,,24.52,1248.0,88.5,,Maharashtra,2455.89,2455.89,4,1,9.432973392991974,labeled_for_modeling
Hyundai Creta 1.4 E Plus Diesel,Mumbai,16096.08,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5.0,11.81 Lakh,22.1,1396.0,88.7,1181.0,Maharashtra,2742.98,2742.98,2,1,9.68633104306604,labeled_for_modeling
Porsche Cayenne 2009-2014 Turbo,Mumbai,22227.92,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5.0,,8.5,4806.0,500.0,,Maharashtra,2736.81,2736.81,12,1,10.009104435329093,labeled_for_modeling
Mahindra XUV500 W8 4WD,Mumbai,14793.06,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,15.1,2179.0,140.0,,Maharashtra,2202.22,2202.22,5,1,9.60191343085643,labeled_for_modeling
Hyundai i10 Sportz 1.2 AT,Kochi,5334.7,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5.0,,16.95,1197.0,78.9,,Kerala,1654.71,1654.71,8,1,8.581987929727385,labeled_for_modeling
Nissan Terrano XV D Pre,Kochi,10608.08,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5.0,16.65 Lakh,19.64,1461.0,108.5,1664.9999999999998,Kerala,2222.0,2222.0,5,1,9.269371253875336,labeled_for_modeling
Honda Brio VX AT,Coimbatore,9902.92,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5.0,,16.5,1198.0,86.8,,Tamil Nadu,2348.93,2348.93,4,2,9.200584942128579,labeled_for_modeling
Audi A6 2.0 TDI Design Edition,Delhi,45222.32,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5.0,,18.53,1968.0,187.74,,Delhi,3708.14,3708.14,6,2,10.719346049248337,labeled_for_modeling
Ford Fiesta 1.4 SXi TDCi,Jaipur,3065.92,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5.0,,17.8,1399.0,94.0,,Rajasthan,1723.88,1723.88,12,1,8.028102966462509,labeled_for_modeling
Toyota Innova 2.0 G1,Chennai,6898.32,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8.0,,12.4,1998.0,132.0,,Tamil Nadu,3144.42,3144.42,14,3,8.839033182678838,labeled_for_modeling
Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,18012.28,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7.0,,12.8,2494.0,102.0,,Telangana,1515.1,1515.1,8,1,9.798809026492732,labeled_for_modeling
Hyundai Santro Xing XL,Hyderabad,1992.85,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5.0,,18.2,1086.0,94.0,,Telangana,3386.01,3386.01,15,1,7.597321053958384,labeled_for_modeling
Maruti Swift VDI,Jaipur,5748.6,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5.0,,22.9,1248.0,74.0,,Rajasthan,954.87,954.87,8,1,8.656711625884883,labeled_for_modeling
Tata Zest Revotron 1.2T XE,Pune,6898.32,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5.0,6.67 Lakh,17.57,1193.0,88.7,667.0,Maharashtra,2589.95,2589.95,3,1,8.839033182678838,labeled_for_modeling
Honda Amaze SX i-VTEC,Kochi,7388.87,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5.0,,18.0,1198.0,86.7,,Kerala,2493.69,2493.69,4,1,8.90773009291348,labeled_for_modeling
Ford Figo Diesel ZXI,Hyderabad,4292.29,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,,20.0,1399.0,68.0,,Telangana,1515.1,1515.1,8,1,8.364575669035572,labeled_for_modeling
Maruti Ritz VDi,Jaipur,4767.51,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5.0,,23.2,1248.0,73.94,,Rajasthan,1042.2,1042.2,7,1,8.46957943500777,labeled_for_modeling
Honda City i VTEC E,Delhi,4982.12,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5.0,,17.8,1497.0,117.3,,Delhi,4834.66,4834.66,11,1,8.513610782244209,labeled_for_modeling
BMW 5 Series 2003-2012 525d,Delhi,21308.14,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5.0,,16.73,1995.0,218.0,,Delhi,2775.02,2775.02,9,2,9.966844438317539,labeled_for_modeling
Hyundai i10 Sportz 1.2,Pune,3449.16,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,,20.36,1197.0,78.9,,Maharashtra,2736.81,2736.81,11,1,8.145886002118893,labeled_for_modeling
Hyundai Grand i10 Sportz,Bangalore,8814.52,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5.0,,18.9,1197.0,82.0,,Karnataka,2548.47,2548.47,4,1,9.084155640711822,labeled_for_modeling
Hyundai Santro Xing XO,Hyderabad,3219.22,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5.0,,17.0,1086.0,94.0,,Telangana,3386.01,3386.01,13,1,8.076894373169724,labeled_for_modeling
Honda Amaze SX i-VTEC,Mumbai,7664.8,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5.0,,17.8,1198.0,86.7,,Maharashtra,2455.89,2455.89,4,1,8.944393698336663,labeled_for_modeling
Toyota Fortuner 4x2 Manual,Delhi,25293.84,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7.0,,13.0,2982.0,168.5,,Delhi,3708.14,3708.14,6,1,10.138316166809098,labeled_for_modeling
Audi A6 2011-2015 35 TDI Premium,Coimbatore,60674.56,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,,17.68,1968.0,174.33,,Tamil Nadu,2915.6,2915.6,2,1,11.013279778817376,labeled_for_modeling
Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,8431.28,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5.0,,22.7,1498.0,89.84,,Delhi,3418.5,3418.5,7,1,9.039703878140989,labeled_for_modeling
Mahindra XUV500 W8 2WD,Delhi,12416.98,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,,15.1,2179.0,140.0,,Delhi,3708.14,3708.14,6,1,9.42682016972053,labeled_for_modeling
Honda Amaze SX i-DTEC,Kolkata,5365.36,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,25.8,1498.0,98.6,,West Bengal,1139.88,1139.88,5,1,8.587718754397931,labeled_for_modeling
Volkswagen Polo Diesel Highline 1.2L,Kolkata,4276.96,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,,22.07,1199.0,73.9,,West Bengal,988.98,988.98,7,1,8.360997755833397,labeled_for_modeling
Hyundai Verna Transform SX VGT CRDi,Ahmedabad,5288.71,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5.0,,16.2,1493.0,110.0,,Gujarat,3109.86,3109.86,10,1,8.573329638781852,labeled_for_modeling
Maruti Wagon R VXI BS IV,Bangalore,6821.67,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,,18.9,998.0,67.1,,Karnataka,2548.47,2548.47,4,1,8.827859588897415,labeled_for_modeling
Volkswagen Polo Petrol Highline 1.6L,Delhi,4062.34,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5.0,,15.26,1598.0,103.5,,Delhi,4834.66,4834.66,10,1,8.309514441247014,labeled_for_modeling
Hyundai i20 1.4 CRDi Sportz,Pune,5825.25,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5.0,,23.0,1396.0,90.0,,Maharashtra,1493.96,1493.96,9,2,8.669957195967866,labeled_for_modeling
Hyundai i20 Asta 1.2,Mumbai,7128.26,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5.0,,18.5,1197.0,82.85,,Maharashtra,1992.54,1992.54,6,1,8.871822444355226,labeled_for_modeling
Datsun GO Plus T Petrol,Pune,6055.19,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7.0,6.45 Lakh,19.83,1198.0,67.0,645.0,Maharashtra,2589.95,2589.95,3,1,8.70867103452048,labeled_for_modeling
Audi A4 3.0 TDI Quattro Premium,Kolkata,15023.01,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5.0,,14.94,2967.0,241.4,,West Bengal,1576.62,1576.62,10,1,9.61733830470821,labeled_for_modeling
Hyundai i20 2015-2017 Asta,Pune,4138.99,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5.0,,17.0,1197.0,80.0,,Maharashtra,2736.81,2736.81,11,2,8.328207075703292,labeled_for_modeling
Maruti Omni 5 Str STD,Coimbatore,3694.43,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5.0,,14.0,796.0,35.0,,Tamil Nadu,3144.42,3144.42,10,1,8.214581558965701,labeled_for_modeling
Toyota Etios Liva 1.2 G,Ahmedabad,5978.54,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5.0,6.41 Lakh,17.71,1197.0,78.9,641.0,Gujarat,1905.26,1905.26,6,1,8.695931669978718,labeled_for_modeling
Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,36791.04,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5.0,,14.74,2993.0,270.9,,Telangana,1366.82,1366.82,9,2,10.513009616250509,labeled_for_modeling
